OriginalChemName,ChemCode
Anatoxin-a,64285-06-9
Microcystin,101043-37-2
Total Phosphorus,7723-14-0
Pheophytin a,603-17-8
Chlorophyll a,42617-16-3
Ammonia Nitrogen,Ammonia as N
"Calcium, Total, ICP-MS",Calcium
"Conductivity, Field",Conductivity @ 25oC
"Copper, Dissolved, ICP-MS",7440-50-8
"Dissolved Oxygen, Field",Dissolved Oxygen
Escherichia coli,E. Coli
Fecal Coliform,Faecal Coliforms
"Hardness, Calc",CarbHard_as_CaCO3
"Magnesium, Total, ICP-MS",Magnesium
Nitrite + Nitrate Nitrogen,NO3+NO2 (as N)
Orthophosphate Phosphorus,Ortho Phosphorus
"pH, Field",pH (Field)
"Sample Temperature, Field",Temperature
Silica,Silica
Total Alkalinity,Alkalinity (total)
Total Nitrogen,7727-37-9
Total Suspended Solids,TSS
Turbidity,Turb
"Zinc, Dissolved, ICP-MS",7440-66-6
