SampleCode,Sampled_Date_Time,Field_ID,Blank1,Depth,Blank2,Matrix_Type,Sample_Type,Parent_Sample,Blank3,SDG,Lab_Name,Lab_SampleID,Lab_Comments,Lab_Report_Number
24-05861_20401,4/3/2024,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-05861_20401,,24-05861
24-05861_20401,4/3/2024,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-05861_20401,,24-05861
24-05861_20401,4/3/2024,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-05861_20401,,24-05861
24-05861_20402,4/3/2024,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-05861_20402,,24-05861
24-05861_20402,4/3/2024,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-05861_20402,,24-05861
24-05861_20402,4/3/2024,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-05861_20402,,24-05861
24-05861_IW-2024-147_BLK,4/8/2024 0:00,IW-2024-147_BLK,,,,Water,MB,,,,Exact Scientific,IW-2024-147_BLK,,24-05861
24-05861_IW-2024-147_LFB,4/8/2024 0:00,IW-2024-147_LFB,,,,Water,LCS,,,,Exact Scientific,IW-2024-147_LFB,,24-05861
24-05861_IW-2024-147_MS,4/8/2024 0:00,IW-2024-147_MS,,,,Water,MS,,,,Exact Scientific,IW-2024-147_MS,,24-05861
24-05861_IW-2024-147_Dup,4/8/2024 0:00,IW-2024-147_Dup,,,,Water,LAB_D,24-05861_20401,,,Exact Scientific,IW-2024-147_Dup,,24-05861
24-05861_IW-2024-167_BLK,4/9/2024 0:00,IW-2024-167_BLK,,,,Water,MB,,,,Exact Scientific,IW-2024-167_BLK,,24-05861
24-05861_IW-2024-167_LFB,4/9/2024 0:00,IW-2024-167_LFB,,,,Water,LCS,,,,Exact Scientific,IW-2024-167_LFB,,24-05861
24-05861_IW-2024-167_MS,4/9/2024 0:00,IW-2024-167_MS,,,,Water,MS,,,,Exact Scientific,IW-2024-167_MS,,24-05861
24-05861_IW-2024-167_Dup,4/9/2024 0:00,IW-2024-167_Dup,,,,Water,LAB_D,24-05861_20402,,,Exact Scientific,IW-2024-167_Dup,,24-05861
24-05861_IW-2024-168_BLK,4/9/2024 0:00,IW-2024-168_BLK,,,,Water,MB,,,,Exact Scientific,IW-2024-168_BLK,,24-05861
24-05861_IW-2024-168_LFB,4/9/2024 0:00,IW-2024-168_LFB,,,,Water,LCS,,,,Exact Scientific,IW-2024-168_LFB,,24-05861
24-05861_IW-2024-168_MS,4/9/2024 0:00,IW-2024-168_MS,,,,Water,MS,,,,Exact Scientific,IW-2024-168_MS,,24-05861
24-05861_IW-2024-168_Dup,4/9/2024 0:00,IW-2024-168_Dup,,,,Water,LAB_D,24-06060_20967,,,Exact Scientific,IW-2024-168_Dup,,24-05861
24-05861_WC1-2024-172_BLK,4/5/2024 0:00,WC1-2024-172_BLK,,,,Water,MB,,,,Exact Scientific,WC1-2024-172_BLK,,24-05861
24-05861_WC1-2024-172_LFB,4/5/2024 0:00,WC1-2024-172_LFB,,,,Water,LCS,,,,Exact Scientific,WC1-2024-172_LFB,,24-05861
24-05861_WC1-2024-172_Dup,4/5/2024 0:00,WC1-2024-172_Dup,,,,Water,LAB_D,24-05836_20275,,,Exact Scientific,WC1-2024-172_Dup,,24-05861
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
