SampleCode,ChemCode,OriginalChemName,Prefix,Result,Result_Unit,Total_or_Filtered,Result_Type,Method_Type,Method_Name,Extraction_Date,Analysed_Date,Lab_Analysis_ID,Lab_Preperation_Batch_ID,Lab_Analysis_Batch_ID,EQL,RDL,MDL,ODL,Detection_Limit_Units,Lab_Comments,Lab_Qualifier,UCL,LCL,Dilution_Factor,Spike_Concentration,Spike_Measurement,Spike_Units
24E0201_24E0201-01,7440-66-6,Zinc,,19.6,ug/L,T,REG,Total,EPA 200.8 UCT-KED,5/14/2024 4:18,5/15/2024 17:23,XDTm2240515068,BME0345,SME0239,2.92,6,2.92,,ug/L,Lab Batch BME0345,,,,1,,,
24E0201_24E0201-01,7723-14-0,Phosphorus,,0.062,mg/L,T,REG,Total,SM 4500-P E-11,5/9/2024 12:37,5/10/2024 13:40,PO4SA051024SRB2015,BME0269,SME0171,0.016,0.016,0.016,,mg/L,Lab Batch BME0269,,,,1,,,
24E0201_24E0201-01,OrthoPhosphorus,Ortho Phosphorus,,0.006,mg/L,T,leached_REG,Total,SM 4500-P E-11,5/8/2024 15:48,5/8/2024 18:17,PO4050824CDE2006,BME0235,SME0144,0.004,0.004,0.004,,mg/L,Lab Batch BME0235,H,,,1,,,
24E0201_24E0201-02,7440-66-6,Zinc,,8.93,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,5/14/2024 4:26,5/15/2024 19:14,XDTm2240515089,BME0346,SME0239,2.92,6,2.92,,ug/L,Lab Batch BME0346,,,,1,,,
24E0201_24E0201-03,7440-66-6,Zinc,<,2.92,ug/L,T,REG,Total,EPA 200.8 UCT-KED,5/14/2024 4:18,5/15/2024 17:18,XDTm2240515067,BME0345,SME0239,2.92,6,2.92,,ug/L,Lab Batch BME0345,U,,,1,,,
24E0201_24E0201-03,7723-14-0,Phosphorus,,0.018,mg/L,T,REG,Total,SM 4500-P E-11,5/9/2024 12:37,5/10/2024 13:41,PO4SA051024SRB2016,BME0269,SME0171,0.016,0.016,0.016,,mg/L,Lab Batch BME0269,,,,1,,,
24E0201_24E0201-03,OrthoPhosphorus,Ortho Phosphorus,,0.005,mg/L,T,leached_REG,Total,SM 4500-P E-11,5/8/2024 15:48,5/8/2024 18:18,PO4050824CDE2009,BME0235,SME0144,0.004,0.004,0.004,,mg/L,Lab Batch BME0235,H,,,1,,,
24E0201_24E0201-04,7440-66-6,Zinc,<,2.92,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,5/14/2024 4:26,5/15/2024 19:18,XDTm2240515090,BME0346,SME0239,2.92,6,2.92,,ug/L,Lab Batch BME0346,U,,,1,,,
24E0201_BME0235-BLK1,OrthoPhosphorus,Ortho Phosphorus,<,0.004,mg/L,T,REG,Total,SM 4500-P E-11,5/8/2024 15:48,5/8/2024 18:16,PO4050824CDE2004,BME0235,SME0144,0.004,0.004,0.004,,mg/L,Lab Batch BME0235,U,,,1,,,
24E0201_BME0235-BS1,OrthoPhosphorus,Ortho Phosphorus,,105,%,T,SC,Total,SM 4500-P E-11,5/8/2024 15:48,5/8/2024 18:16,PO4050824CDE2005,BME0235,SME0144,0.004,0.004,0.004,,mg/L,Lab Batch BME0235,,110,90,1,0.15,0.157,mg/L
24E0201_BME0235-DUP1,OrthoPhosphorus,Ortho Phosphorus,,0.005,mg/L,T,REG,Total,SM 4500-P E-11,5/8/2024 15:48,5/8/2024 18:17,PO4050824CDE2007,BME0235,SME0144,0.004,0.004,0.004,,mg/L,Lab Batch BME0235,,,,1,,,
24E0201_BME0235-MS1,OrthoPhosphorus,Ortho Phosphorus,,97.5,%,T,SC,Total,SM 4500-P E-11,5/8/2024 15:48,5/8/2024 18:18,PO4050824CDE2008,BME0235,SME0144,0.004,0.004,0.004,,mg/L,Lab Batch BME0235,,125,75,1,0.1005,0.103,mg/L
24E0201_BME0269-BLK1,7723-14-0,Phosphorus,<,0.016,mg/L,T,REG,Total,SM 4500-P E-11,5/9/2024 12:37,5/10/2024 13:35,PO4SA051024SRB2007,BME0269,SME0171,0.016,0.016,0.016,,mg/L,Lab Batch BME0269,U,,,1,,,
24E0201_BME0269-BLK2,7723-14-0,Phosphorus,<,0.016,mg/L,T,REG,Total,SM 4500-P E-11,5/9/2024 12:37,5/10/2024 13:42,PO4SA051024SRB2017,BME0269,SME0171,0.016,0.016,0.016,,mg/L,Lab Batch BME0269,U,,,1,,,
24E0201_BME0269-BS1,7723-14-0,Phosphorus,,103,%,T,SC,Total,SM 4500-P E-11,5/9/2024 12:37,5/10/2024 13:35,PO4SA051024SRB2008,BME0269,SME0171,0.016,0.016,0.016,,mg/L,Lab Batch BME0269,,110,90,1,0.15,0.155,mg/L
24E0201_BME0269-BS2,7723-14-0,Phosphorus,,104,%,T,SC,Total,SM 4500-P E-11,5/9/2024 12:37,5/10/2024 13:42,PO4SA051024SRB2018,BME0269,SME0171,0.016,0.016,0.016,,mg/L,Lab Batch BME0269,,110,90,1,0.15,0.156,mg/L
24E0201_BME0345-BLK2,7440-66-6,Zinc,<,2.92,ug/L,T,REG,Total,EPA 200.8 UCT-KED,5/14/2024 4:18,5/15/2024 15:11,XDTm2240515045,BME0345,SME0239,2.92,6,2.92,,ug/L,Lab Batch BME0345,U,,,1,,,
24E0201_BME0345-BS2,7440-66-6,Zinc,,103,%,T,SC,Total,EPA 200.8 UCT-KED,5/14/2024 4:18,5/15/2024 15:20,XDTm2240515047,BME0345,SME0239,2.92,6,2.92,,ug/L,Lab Batch BME0345,,120,80,1,80,82.1,ug/L
24E0201_BME0346-BLK1,7440-66-6,Zinc,<,2.92,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,5/14/2024 4:26,5/15/2024 17:46,XDTm2240515072,BME0346,SME0239,2.92,6,2.92,,ug/L,Lab Batch BME0346,U,,,1,,,
24E0201_BME0346-BS1,7440-66-6,Zinc,,97.5,%,F,SC,Dissolved,EPA 200.8 UCT-KED,5/14/2024 4:26,5/15/2024 17:54,XDTm2240515074,BME0346,SME0239,2.92,6,2.92,,ug/L,Lab Batch BME0346,,120,80,1,80,78,ug/L
